year,month,naics,description,customs_value,calculated_duties
2025,8,332,"FABRICATED METAL PRODUCTS, NESOI",7170750299,2114164015
2025,8,333,"MACHINERY, EXCEPT ELECTRICAL",18626124686,2898447600
2025,8,334,COMPUTER & ELECTRONIC PRODUCTS,57376787313,2093479704
2025,8,335,"ELECTRICAL EQUIPMENT, APPLIANCES & COMPONENTS",16347077849,2787582510
2025,8,336,TRANSPORTATION EQUIPMENT,35403558224,5870874378
2025,8,337,FURNITURE & FIXTURES,3175924027,606233766
2025,8,339,MISCELLANEOUS MANUFACTURED COMMODITIES,10980279396,1674005387
2025,8,910,WASTE AND SCRAP,643668052,6017652
2025,8,930,USED OR SECOND-HAND MERCHANDISE,885228615,11845405
2025,8,980,GOODS RETURNED (EXPORTS FOR CANADA ONLY),9293275743,11406514
2025,8,990,OTHER SPECIAL CLASSIFICATION PROVISIONS,3184694031,1250841
2025,9,111,AGRICULTURAL PRODUCTS,3598418845,300030681
2025,9,112,LIVESTOCK & LIVESTOCK PRODUCTS,1010595080,117993041
2025,9,113,"FORESTRY PRODUCTS, NESOI",209572430,15361526
2025,9,114,"FISH, FRESH/CHILLED/FROZEN & OTHER MARINE PRODUCTS",965062788,118048515
2025,9,115,PRODUCTS SUPPORTING AGRICULTURE AND FORESTRY ,7848135,444359
2025,9,211,OIL & GAS,11797871212,350982
2025,9,212,MINERALS & ORES,503395039,13032359
2025,9,311,FOOD & KINDRED PRODUCTS,9637199854,1021523352
2025,9,312,BEVERAGES & TOBACCO PRODUCTS,2015923512,150611828
2025,9,313,TEXTILES & FABRICS,653580255,129237017
2025,9,314,TEXTILE MILL PRODUCTS,1800299273,522350950
2025,9,315,APPAREL & ACCESSORIES,7702031555,2342781479
2025,9,316,LEATHER & ALLIED PRODUCTS,3211686237,924784860
2025,9,321,WOOD PRODUCTS,1758622927,128607375
2025,9,322,PAPER,2036016878,210138140
2025,9,323,"PRINTED MATTER AND RELATED PRODUCTS, NESOI",547248821,39837040
2025,9,324,PETROLEUM & COAL PRODUCTS,5496758985,12871299
2025,9,325,CHEMICALS,40654879969,1144724899
2025,9,326,PLASTICS & RUBBER PRODUCTS,6046686684,1119422890
2025,9,327,NONMETALLIC MINERAL PRODUCTS,2261244548,426094711
2025,9,331,PRIMARY METAL MFG,10937439789,1396751648
2025,9,332,"FABRICATED METAL PRODUCTS, NESOI",7052181370,2189869986
2025,9,333,"MACHINERY, EXCEPT ELECTRICAL",17408312806,3331633648
2025,9,334,COMPUTER & ELECTRONIC PRODUCTS,61154626820,3054998868
2025,9,335,"ELECTRICAL EQUIPMENT, APPLIANCES & COMPONENTS",15004181205,2886649038
2025,9,336,TRANSPORTATION EQUIPMENT,35378962486,5461526989
2025,9,337,FURNITURE & FIXTURES,3024834760,669488071
2025,9,339,MISCELLANEOUS MANUFACTURED COMMODITIES,10743763601,1778681257
2025,9,910,WASTE AND SCRAP,666028903,5351701
2025,9,930,USED OR SECOND-HAND MERCHANDISE,1075394523,13278492
2025,9,980,GOODS RETURNED (EXPORTS FOR CANADA ONLY),9644568411,11692236
2025,9,990,OTHER SPECIAL CLASSIFICATION PROVISIONS,3305278188,2125110
2025,10,111,AGRICULTURAL PRODUCTS,3780419190,332714091
2025,10,112,LIVESTOCK & LIVESTOCK PRODUCTS,995035960,117119577
2025,10,113,"FORESTRY PRODUCTS, NESOI",159814300,14253795
2025,10,114,"FISH, FRESH/CHILLED/FROZEN & OTHER MARINE PRODUCTS",921698591,126190484
2025,10,115,PRODUCTS SUPPORTING AGRICULTURE AND FORESTRY ,9814903,751825
2025,10,211,OIL & GAS,11179009548,3960703
2025,10,212,MINERALS & ORES,641309811,11742053
2025,10,311,FOOD & KINDRED PRODUCTS,9731447964,1095413937
2025,10,312,BEVERAGES & TOBACCO PRODUCTS,2074530568,153679206
2025,10,313,TEXTILES & FABRICS,667926739,145085739
2025,10,314,TEXTILE MILL PRODUCTS,1701068411,562695722
2025,10,315,APPAREL & ACCESSORIES,6568129799,2153833425
2025,10,316,LEATHER & ALLIED PRODUCTS,3019365493,877848411
2025,10,321,WOOD PRODUCTS,1727617486,180396363
2025,10,322,PAPER,2053421339,222851733
2025,10,323,"PRINTED MATTER AND RELATED PRODUCTS, NESOI",540480138,41789385
2025,10,324,PETROLEUM & COAL PRODUCTS,4831775571,18925359
2025,10,325,CHEMICALS,25163851906,1246833406
2025,10,326,PLASTICS & RUBBER PRODUCTS,5990274728,1114917258
2025,10,327,NONMETALLIC MINERAL PRODUCTS,2216953819,427918930
2025,10,331,PRIMARY METAL MFG,10070831386,1507718405
2025,10,332,"FABRICATED METAL PRODUCTS, NESOI",7078449195,2184672578
2025,10,333,"MACHINERY, EXCEPT ELECTRICAL",18269557247,3589184794
2025,10,334,COMPUTER & ELECTRONIC PRODUCTS,72648868049,3112666847
2025,10,335,"ELECTRICAL EQUIPMENT, APPLIANCES & COMPONENTS",15519341143,3057070528
2025,10,336,TRANSPORTATION EQUIPMENT,37238986588,5093471006
2025,10,337,FURNITURE & FIXTURES,2928443061,737789637
2025,10,339,MISCELLANEOUS MANUFACTURED COMMODITIES,11427351000,1866092023
2025,10,910,WASTE AND SCRAP,715937563,5552589
2025,10,930,USED OR SECOND-HAND MERCHANDISE,2049249726,15087820
2025,10,980,GOODS RETURNED (EXPORTS FOR CANADA ONLY),9810960951,7962521
2025,10,990,OTHER SPECIAL CLASSIFICATION PROVISIONS,3540581992,2737069
2025,11,111,AGRICULTURAL PRODUCTS,3866679023,187936534
2025,11,112,LIVESTOCK & LIVESTOCK PRODUCTS,962485997,131539534
2025,11,113,"FORESTRY PRODUCTS, NESOI",235935901,16613036
2025,11,114,"FISH, FRESH/CHILLED/FROZEN & OTHER MARINE PRODUCTS",939165114,134160090
2025,11,115,PRODUCTS SUPPORTING AGRICULTURE AND FORESTRY ,10453745,517300
2025,11,211,OIL & GAS,9925917820,327412
2025,11,212,MINERALS & ORES,455137853,12632183
2025,11,311,FOOD & KINDRED PRODUCTS,9397252891,926548291
2025,11,312,BEVERAGES & TOBACCO PRODUCTS,1956305991,158474164
