date,dv_canada,dv_mexico,dv_china,dv_eu,dv_world,m_canada,m_mexico,m_china,m_eu,m_world,share_canada,share_mexico,share_china,share_eu,dv_row,m_row,share_row
2009-04-01,862183,472087,9482941,6050691,33672847,17211.2,13715.7,21920.6,23216.9,118895.8,5.009429906107651,3.4419460909760344,43.26040801802871,26.061580142051692,16804945,42831.400000000016,39.23510555340239
2009-05-01,843213,438478,10185448,5962163,34748849,16398.8,13317.5,22734.1,20748.8,116341.5,5.141918920896651,3.2924948376196737,44.802512525237425,28.734977444478716,17319547,43142.3,40.14516379516159
2009-06-01,1085450,500765,10364891,6908450,37670946,18549.5,14011.5,23972.8,23136.8,127173.2,5.85164020593547,3.5739571066623843,43.236046686244414,29.85914214584558,18811390,47502.59999999999,39.60075869531352
2009-07-01,1077617,525172,11336876,7333103,40621376,18763.4,14081.7,25671.1,25180.3,135695.8,5.743186202926974,3.7294644822713163,44.1620187681868,29.122381385448147,20348608,51999.3,39.13246524472444
2009-08-01,1053875,521486,11791445,6844619,40053038,19230.3,15060.5,25798.1,22371.8,131271.6,5.480283718922742,3.46260748315129,45.70664118675406,30.594851554188757,19841613,48810.90000000001,40.64996343029937
2009-09-01,1123762,598445,12358832,6290264,40565026,19912.7,16130,27893.9,23529,141004.5,5.643443631451285,3.710136391816491,44.30657598973252,26.734089846572317,20193723,53538.899999999994,37.71785187966134
2009-10-01,1137929,613192,12624254,7673381,43797820,21229.2,17289.9,29557.8,25691.6,147026.9,5.3602066964369834,3.5465329469806064,42.710397932187114,29.867275685438045,21749064,53258.39999999999,40.836870803478895
2009-11-01,1241031,570274,10815811,7743762,41403106,20395.5,17185.8,27541.7,25270.8,143324.3,6.084827535485768,3.318286026836109,39.2706731973698,30.643121705684027,21032228,52930.499999999985,39.735555114725926
2009-12-01,1316723,561275,10613632,8017806,41861942,21848.1,17087.5,26470.1,25372.4,146105.8,6.026716281965022,3.2847110460863203,40.09668267214707,31.60050290867241,21352506,55327.699999999975,38.59279529060491
2010-01-01,973070,604185,11136030,6463469,39933573,21653.8,16089.4,25215.9,21293.2,136725.4,4.493760910325209,3.7551742140788344,44.16273065803719,30.354615558018523,20756819,52473.09999999999,39.55706638258461
2010-02-01,902357,574197,10478260,6501567,38439962,21233.2,16459.3,23342.8,23124.6,133898.8,4.249745681291562,3.4885869994471213,44.88861661840054,28.115370644248983,19983581,49738.89999999999,40.17696611706331
2010-03-01,1353592,707581,10192582,8271404,43768366,24316.3,20089.5,24292.2,28264.1,157728.8,5.566603471745291,3.52214340824809,41.95824997324244,29.26469974278325,23243207,60766.700000000004,38.24990825567292
2010-04-01,1318232,604108,10946260,7939755,45326465,23657,18594.2,25920.2,24771.3,153165,5.572270363951473,3.2489055727054668,42.23061550450999,32.05223383512371,24518110,60222.3,40.7126762013407
2010-05-01,1207856,638201,12668407,8420199,46197611,23658.1,19419.2,29052.4,25738.8,156153.2,5.105464935899333,3.2864433138337312,43.60537167325246,32.714030957154186,23262948,58284.7,39.91261514599886
2010-06-01,1285388,665058,14206749,8606197,49564170,24693.6,20049.1,32843.1,27709.5,168323.6,5.205348754333106,3.317146405574315,43.256419156535166,31.058651365055308,24800778,63028.29999999999,39.34863862741023
2010-07-01,1522145,640838,15091603,9102769,52285785,21299.6,18213.8,33266.8,28484.6,163910,7.146354861124153,3.5184200990457786,45.365358255077126,31.956808240242097,25928430,62645.19999999999,41.38933230319323
2010-08-01,1514909,699527,16128503,8810941,53135493,23457,20252.2,35375.3,27552.8,171004.1,6.458238478918873,3.4540790630153766,45.592554692115684,31.978386951598388,25981613,64366.8,40.36492881423342
2010-09-01,1336603,676046,15551200,7703796,50074873,23041.4,19908,35196.7,26630.3,167120.3,5.8008758148376405,3.395850914205345,44.18368767526501,28.928686496209206,24807228,62343.899999999994,39.790946668398995
2010-10-01,1091509,626329,15350240,9091610,50532965,23444.5,21024,35083.3,28697.7,170320.1,4.6557145599181045,2.979114345509893,43.75369477785726,31.680622488910267,24373277,62070.600000000006,39.26702335727381
2010-11-01,1166976,656996,13599929,8985476,48995315,22909.2,20530.3,34564.3,28213.4,168989.2,5.093918600387617,3.200128590424884,39.346750838292685,31.84825650222944,24585938,62771.99999999999,39.167045816606134
